,Links
9,https://medium.com/@gugumashava/the-rise-in-surgery-within-south-koreas-teenagers-cc435efbb4c2?source=topic_page---------8------------------1
10,https://level.medium.com/pray-for-us-all-in-this-time-of-barberlessness-1341518f700?source=topic_page---------9------------------1
11,https://medium.com/an-injustice/self-made-black-hair-15fb89fc6b03?source=topic_page---------10------------------1
12,https://medium.com/@jillianlinkowski/divas-in-diapers-child-beauty-pageants-80ac6418f733?source=topic_page---------11------------------1
13,https://medium.com/pulpmag/meet-the-artist-behind-cakeland-la-the-beauty-war-dd22f411559e?source=topic_page---------12------------------1
14,https://medium.com/@lucasbane/love-is-not-something-you-earn-at-the-gym-aec97cc1609d?source=topic_page---------13------------------1
15,https://medium.com/fearless-she-wrote/fresh-faced-and-focused-on-work-54d6a51a1dcf?source=topic_page---------14------------------1
16,https://medium.com/home-sweet-home/how-to-teach-your-daughter-about-skincare-76982bf16580?source=topic_page---------15------------------1
17,https://medium.com/@jamiejacksonati/the-psychological-menace-of-hair-loss-f75dcee4b3c9?source=topic_page---------16------------------1
18,https://medium.com/@michellevscott/there-is-a-difference-between-body-positivity-body-acceptance-and-fat-acceptance-heres-why-184d6cad90a2?source=topic_page---------17------------------1
19,https://medium.com/indelible-ink/its-okay-if-you-re-fat-f38ffda90a03?source=topic_page---------18------------------1
20,https://medium.com/shattered-memories/i-dont-want-to-be-ashamed-of-my-body-anymore-7485c9eec957?source=topic_page---------19------------------1
21,https://psiloveyou.xyz/name-the-beauty-that-you-see-601419760fdf?source=topic_page---------20------------------1
22,https://medium.com/the-partnered-pen/billie-eilish-strips-down-boundaries-and-body-image-in-145-words-f1876bd9a4ee?source=topic_page---------21------------------1
23,https://medium.com/narrative/how-to-be-body-positive-with-an-80-year-old-body-da593743fa29?source=topic_page---------22------------------1
24,https://medium.com/@mara_80582/being-gay-didnt-save-me-from-diet-culture-but-it-may-have-helped-947fb4ed7370?source=topic_page---------23------------------1
25,https://medium.com/song-of-the-lark/embracing-beauty-and-self-acceptance-as-an-asian-american-woman-f283f5bd8e15?source=topic_page---------24------------------1
26,https://psiloveyou.xyz/your-flaws-are-proof-your-beauty-is-real-2a415be3fd4d?source=topic_page---------25------------------1
27,https://medium.com/the-bad-influence/may-i-show-you-my-breasts-227bc691dbfb?source=topic_page---------26------------------1
28,https://medium.com/fattitude/i-am-a-fat-woman-and-im-not-sorry-about-it-5eea7e447c79?source=topic_page---------27------------------1
29,https://medium.com/climate-conscious/is-sustainable-fashion-a-deliverable-promise-8b63bd9d067f?source=topic_page---------28------------------1
30,https://medium.com/swlh/skin-deep-the-trouble-with-beauty-mode-4f86ba11f572?source=topic_page---------29------------------1
31,https://medium.com/@DebbieWalker59/who-is-that-wrinkled-woman-in-the-mirror-7d84c1cc8e52?source=topic_page---------30------------------1
32,https://elemental.medium.com/10-things-health-care-providers-can-do-to-better-treat-their-fat-patients-6ac7131eb20c?source=topic_page---------31------------------1
33,https://medium.com/liberty-76/teen-magazines-made-me-hate-myself-2f82d19f9fa?source=topic_page---------32------------------1
34,https://medium.com/sexography/the-shame-around-shaving-needs-to-stop-now-f8eb043b0e8f?source=topic_page---------33------------------1
35,https://medium.com/@swimfly143/what-would-happen-if-you-started-each-morning-by-telling-yourself-that-you-are-beautiful-9b53c3d852a1?source=topic_page---------34------------------1
36,https://medium.com/unlearning-to-learn/is-curly-hair-unprofessional-b93a5504abc6?source=topic_page---------35------------------1
37,https://medium.com/soccer-domme/why-at-almost-50-im-giving-up-my-pretty-privilege-861e445b24b1?source=topic_page---------36------------------1
38,https://medium.com/refinery29/what-to-say-instead-of-youre-not-fat-c122ae9b6fed?source=topic_page---------37------------------1
39,https://medium.com/conscious-life/love-sex-and-disabled-women-we-want-to-be-sexy-too-b08c64ae41d3?source=topic_page---------38------------------1
40,https://psiloveyou.xyz/self-love-in-the-face-of-self-criticism-7c962ad2c0d3?source=topic_page---------39------------------1
41,https://medium.com/fearless-she-wrote/youre-not-a-failure-if-you-have-a-moment-of-weakness-in-your-journey-47d179f02381?source=topic_page---------40------------------1
42,https://medium.com/age-of-awareness/why-i-stopped-wanting-to-be-attractive-37cf27883adc?source=topic_page---------41------------------1
43,https://medium.com/fearless-she-wrote/when-you-get-into-a-beauty-rut-1e64b8a8e61c?source=topic_page---------42------------------1
